net,length_um
decode.id_ex_rs1_data_reg\[11\],239.11
_05537_,238.95
_12503_,238.82
_11204_,238.805
_10331_,238.67
decode.id_ex_imm_reg\[4\],238.61
_10930_,238.6
_10937_,238.54
_05697_,238.48
_12637_,238.415
_12549_,238.41
net221,238.24
_10608_,238.11
net303,237.9
csr._mcycle_T_2\[12\],237.84
_03989_,237.5
_09702_,237.465
_12533_,237.45
_06321_,237.3
_09017_,237.28
_11198_,236.81
net141,236.72
_06168_,236.44
_05710_,236.33
_10957_,236.23
_11381_,236.025
_09373_,235.9
_09067_,235.5
_04767_,235.36
csr._mcycle_T_2\[2\],235.12
_10632_,235.01
_12520_,234.79
csr.mcycle\[18\],234.63
_10651_,234.6
_12498_,234.35
_09142_,234.3
_09978_,234.18
_04317_,234.05
_04446_,233.885
net93,233.84
_07990_,233.74
_04279_,233.58
_04667_,233.12
_04263_,233.01
net165,232.94
_12722_,232.05
_03703_,232.045
_12252_,231.74
decode.id_ex_rs2_data_reg\[22\],231.66
_09743_,231.55
_11297_,231.51
_10592_,231.42
_12892_,231.37
decode.id_ex_rs2_data_reg\[13\],231.35
_07811_,231.29
_01447_,230.92
_09128_,230.84
_05033_,230.72
_10007_,230.46
decode.id_ex_pc_reg\[28\],230.36
_10232_,230
net45,229.98
_05627_,229.77
csr._mcycle_T_2\[9\],229.68
net158,229.42
_03978_,229.38
_12843_,229.38
_10757_,229.35
decode.id_ex_imm_reg\[19\],229.34
_11194_,229.29
_10979_,229.28
_10790_,229.17
_13145_,228.94
_10135_,228.54
decode.id_ex_rs1_data_reg\[26\],228.54
net6,228.5
_10786_,228.18
_09577_,227.99
_11336_,227.69
_12706_,227.27
net24,227.1
decode.id_ex_rs2_data_reg\[16\],226.74
_04893_,226.69
decode.id_ex_imm_reg\[12\],226.6
_05201_,226.555
decode.id_ex_rs1_data_reg\[3\],226.34
csr.io_csr_address\[2\],226.13
_12614_,226.06
_09998_,225.83
_10925_,225.83
_10286_,225.8
_00564_,225.755
net94,225.72
_00931_,225.665
decode.id_ex_rs1_data_reg\[25\],225.64
_10005_,225.095
execute.csr_read_data_out_reg\[14\],224.59
_05200_,224.28
_07768_,224.28
_12745_,224
net18,223.86
decode.id_ex_pc_reg\[0\],223.685
_04525_,223.59
_04301_,223.58
_11547_,223.03
_10035_,222.98
_11999_,222.85
net166,222.75
_11137_,222.72
_01176_,222.64
net67,222.415
_01438_,222.34
_11280_,221.96
_11190_,221.5
_08704_,221.4
decode.id_ex_rs1_data_reg\[1\],221.205
_10057_,221.2
_11360_,221.165
_04492_,221.06
_03579_,221.05
_10462_,220.86
_06263_,220.6
_12582_,220.6
_12874_,220.53
execute.csr_read_data_out_reg\[16\],220.45
_04225_,220.16
_06646_,220.04
decode.id_ex_rs1_data_reg\[13\],220
_04297_,219.945
_12589_,219.935
decode.id_ex_rs1_data_reg\[5\],219.58
_07738_,219.38
_05178_,219.34
_12594_,219.295
_04244_,218.975
_11038_,218.91
_03890_,218.78
_05723_,218.67
_06377_,218.4
_10650_,218.32
net78,218.155
_09660_,218.15
_03581_,218.14
_12586_,218.03
_12530_,218.025
_10505_,217.67
decode.id_ex_rs1_data_reg\[10\],217.43
_03705_,217.42
_10596_,217.38
_11184_,217.33
_11178_,217.21
execute.csr_read_data_out_reg\[19\],217.06
decode.id_ex_pc_reg\[31\],217.04
decode.id_ex_rs1_data_reg\[30\],217.02
_10249_,216.98
_09608_,216.95
net21,216.22
_10977_,215.86
_06652_,215.8
decode.id_ex_pc_reg\[24\],215.36
_11315_,215.33
